date,code,name,close_price,total_score
20260525,000425,徐工机械,9.76,27.75
20260512,000488,ST晨鸣,2.41,29.85
20260513,000488,ST晨鸣,2.41,35.45
20260514,000488,ST晨鸣,2.37,30.45
20260515,000488,ST晨鸣,2.37,33.45
20260518,000488,ST晨鸣,2.24,32.45
20260519,000488,ST晨鸣,2.29,33.45
20260520,000488,ST晨鸣,2.26,28.45
20260521,000488,ST晨鸣,2.31,38.05
20260522,000488,ST晨鸣,2.29,37.65
20260525,000488,ST晨鸣,2.3,42.05
20260512,000498,山东路桥,5.52,18.79
20260513,000498,山东路桥,5.53,18.78
20260514,000498,山东路桥,5.45,15.75
20260515,000498,山东路桥,5.42,15.77
20260518,000498,山东路桥,5.31,15.37
20260519,000498,山东路桥,5.37,18.32
20260520,000498,山东路桥,5.33,15.75
20260521,000498,山东路桥,5.29,15.79
20260522,000498,山东路桥,5.27,16.19
20260525,000498,山东路桥,5.24,15.23
20260512,000503,国新健康,7.76,11.05
20260513,000503,国新健康,7.77,12.05
20260514,000503,国新健康,7.78,12.65
20260515,000503,国新健康,7.84,13.85
20260518,000503,国新健康,7.61,9.45
20260519,000503,国新健康,7.76,14.65
20260520,000503,国新健康,7.49,10.85
20260521,000503,国新健康,7.28,7.05
20260522,000503,国新健康,7.25,7.65
20260525,000503,国新健康,7.15,7.55
20260512,000513,丽珠集团,32.08,22.04
20260513,000513,丽珠集团,31.81,23.29
20260514,000513,丽珠集团,31.41,22.16
20260515,000513,丽珠集团,31.25,18.19
20260518,000513,丽珠集团,30.91,17.26
20260519,000513,丽珠集团,31.18,21.41
20260520,000513,丽珠集团,31.19,21.51
20260521,000513,丽珠集团,31.01,22.04
20260522,000513,丽珠集团,30.8,21.74
20260525,000513,丽珠集团,30.69,19.31
20260512,000519,中兵红箭,17.99,46.68
20260513,000519,中兵红箭,18.39,49.87
20260514,000519,中兵红箭,17.91,46.48
20260515,000519,中兵红箭,17.85,39.68
20260518,000519,中兵红箭,17.61,41.08
20260519,000519,中兵红箭,17.43,38.49
20260520,000519,中兵红箭,17.48,37.89
