code,name,关注度,单日涨跌幅,股息率,今年相对大盘强弱,财报,5日涨跌幅,行业相对强弱,新闻,资金流向,total_score
002216,三全食品,1.0,4,6.81,8,10.54,4,6.8,5.0,1,47.15
002487,大金重工,3.0,2,0.22,10,19.0,4,3.8,2.0,3,47.02
601678,滨化股份,1.0,7,1.52,8,16.09,6,4.4,0.0,3,47.01
002747,埃斯顿,1.7,4,0.0,3,15.44,6,4.8,3.0,9,46.94
605111,新洁能,1.0,4,0.77,10,1.21,10,6.4,5.5,8,46.88
688091,上海谊众,2.1,6,0.0,10,5.97,6,6.8,1.0,9,46.87
600023,浙能电力,3.2,4,7.52,8,0.69,6,4.4,5.0,8,46.81
300406,九强生物,1.7,4,8.25,3,11.22,6,5.6,0.0,7,46.77
002755,奥赛康,1.7,4,1.43,4,15.62,6,5.0,3.0,6,46.75
002557,洽洽食品,1.6,5,7.46,4,20.0,2,2.6,3.0,1,46.66
688036,传音控股,1.8,4,3.02,2,18.82,6,6.0,1.0,4,46.64
300821,东岳硅材,2.1,4,0.26,10,17.07,4,6.2,1.0,2,46.63
688432,有研硅,1.6,2,0.57,10,3.05,10,6.4,7.0,6,46.62
000035,中国天楹,1.0,4,1.12,8,15.49,4,2.0,5.0,6,46.61
600323,瀚蓝环境,1.8,4,4.76,6,19.96,4,5.0,0.0,1,46.52
603063,禾望电气,3.4,4,0.42,10,-5.9,10,9.6,7.0,8,46.52
000519,中兵红箭,1.6,3,0.28,3,20.0,6,2.6,1.0,9,46.48
603025,大豪科技,3.6,4,4.89,2,16.18,6,4.8,1.0,4,46.47
300133,华策影视,1.0,6,0.22,8,-1.26,8,9.0,8.5,7,46.46
603697,有友食品,1.8,3,3.62,2,17.42,6,5.6,0.0,7,46.44
002120,韵达股份,1.0,3,4.86,6,16.53,2,8.0,4.0,1,46.39
000767,晋控电力,1.6,8,0.0,10,0.27,8,9.0,5.5,4,46.37
000685,中山公用,1.9,3,5.87,3,16.62,4,3.8,7.0,1,46.19
300077,国民技术,2.5,4,0.0,8,11.94,6,3.6,2.0,8,46.04
601101,昊华能源,1.0,4,4.6,10,8.0,2,8.4,5.0,3,46.0
002421,达实智能,1.2,5,0.0,4,18.24,4,4.4,0.0,9,45.84
688779,五矿新能,2.0,3,0.82,10,20.0,2,1.0,4.0,3,45.82
603026,石大胜华,4.1,4,0.08,10,20.0,2,2.6,1.0,2,45.78
600999,招商证券,3.5,3,5.07,3,19.0,4,3.2,1.0,4,45.77
000762,西藏矿业,4.7,4,0.0,10,20.0,2,2.0,1.0,2,45.7
600388,龙净环保,1.9,3,3.96,8,13.21,6,2.6,0.0,7,45.67
600116,三峡水利,2.3,3,2.22,4,17.88,6,3.2,0.0,7,45.6
300166,东方国信,4.4,6,0.0,10,6.91,4,6.2,2.0,6,45.51
300657,弘信电子,3.6,6,0.0,10,14.1,2,4.8,1.0,4,45.5
600203,福日电子,1.0,4,0.0,3,19.63,4,4.8,1.0,8,45.43
002488,金固股份,1.0,3,0.17,10,17.23,2,5.0,4.0,3,45.4
688141,杰华特,1.5,6,0.0,10,-6.17,8,10.0,7.0,9,45.33
002032,苏 泊 尔,1.8,4,8.31,6,2.18,6,5.0,5.0,7,45.29
301087,可孚医疗,1.7,2,4.5,8,15.64,4,1.4,1.0,7,45.24
000686,东北证券,1.6,3,3.55,2,19.85,4,3.2,7.0,1,45.2
600267,海正药业,1.6,4,3.65,8,11.13,4,6.8,3.0,3,45.18
000690,宝新能源,2.4,6,6.13,10,3.25,4,7.4,1.0,5,45.18
002737,葵花药业,1.6,4,2.96,2,19.78,4,6.8,0.0,4,45.14
301458,钧崴电子,1.0,6,1.63,10,3.91,6,7.6,1.0,8,45.14
001236,弘业期货,1.7,4,0.08,2,18.94,6,4.4,1.0,7,45.12
000688,国城矿业,1.0,5,0.62,10,15.07,2,1.4,7.0,3,45.09
603392,万泰生物,1.0,6,0.0,2,17.15,4,3.8,7.0,4,44.95
603005,晶方科技,4.8,3,0.73,8,3.4,6,3.0,7.0,9,44.93
002151,北斗星通,1.0,6,0.0,2,19.5,2,4.4,5.0,5,44.9
